Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Publisher,Date Published,Year Published,Genre,Summary,Number of Pages,Language,ISBN,Physical Location,Google VolumeID
La familia de Pascual Duarte,,,,Camilo José Cela,"Cela, Camilo José",RBA Editores,,1991.0,,"Publicada inicialmente en 1942, La familia de Pascual Duarte marca un hito decisivo en la literatura española y es, después del Quijote, el libro español más traducido a otras lenguas. Pascual Duarte, campesino extremeño hijo de un alcohólico, nos cuenta su vida mientras espera su propia ejecución en la celda de los condenados a muerte. Víctima de una inexorable fatalidad, Pascual Duarte es un ser primitivo y elemental dominado por la violencia, única respuesta que conoce a la traición y al engaño. Pero esa siniestra apariencia no es más que la máscara que oculta su incapacidad para luchar con la maldad de los demás y la desvalida impotencia que alberga en el fondo de su alma. Camilo José Cela conduce toda la historia con extraordinaria destreza narrativa y absoluto dominio del lenguaje. Lenguaje desgarrado y directo en el que no faltan los alardes léxicos relativos a situaciones y objetos tradicionalmente aleatorios, que Cela hace entrar por la puerta grande en el acervo del español escrito. Sombrío aguafuerte de la España rural, La familia de Pascual Duarte ha ganado con los años fuerza y dramatismo y su protagonista, que no ha perdido el encanto primigenio, es ya un arquetipo de alcance universal. Premio Nobel de Literatura en 1989. Premio Cervantes en 1995. Premio Príncipe Asturias de las Letras en 1987.",164.0,español,9788487634192.0,Estantería 5.4,ZDKOPwAACAAJ
La familia de Pascual Duarte,,,,Camilo José Cela,"Cela, Camilo José",Seix Barral,,1983.0,Fiction,,182.0,español,9788432221613.0,Estantería 5.4,xVJP1poXa1oC
La flecha negra,,.,39.0,Robert Louis Stevenson,"Stevenson, Robert Louis",Diario el País,,2004.0,,,293.0,español,9788496246485.0,Estantería 5.4,Lmt4uQAACAAJ
La Gente terrible,,.,29.0,Edgar Wallace,"Wallace, Edgar",El País,,2004.0,,,267.0,español,9788496246904.0,Estantería 5.4,OHkAPgAACAAJ
La isla del tesoro,,.,1.0,Robert Louis Stevenson,"Stevenson, Robert Louis",El País,,2004.0,,,269.0,español,9788496246089.0,Estantería 5.4,VebVQwAACAAJ
La llamada de lo salvaje,,.,28.0,Jack London,"London, Jack",El País,,2004.0,Gold discoveries,"Buck, un perro vigoroso y domesticado que vive confortablemente en una soleada mansion de California, es secuestrado para ser vendido como perro de trineo en los frios paramos de Alaska durante la denominada fiebre del oro.",146.0,español,9788496246379.0,Estantería 5.4,dey20AEACAAJ
La Llave de cristal,,.,45.0,Dashiell Hammett,"Hammett, Dashiell",El País,,2004.0,,,234.0,español,9788496390041.0,Estantería 5.4,7hFiAAAACAAJ
La máquina del tiempo,,.,21.0,H. G. Wells,"Wells, H. G.",El País,,2003.0,Self-experimentation in medicine in fiction,,138.0,español,9788496246294.0,Estantería 5.4,BSlOPwAACAAJ
La Máscara de Dimitrios,,.,22.0,Eric Ambler,"Ambler, Eric",El País,,2004.0,Fiction,,284.0,español,9788496246836.0,Estantería 5.4,syAlAAAACAAJ
La piedra lunar,(I),.,48.0,Wilkie Collins,"Collins, Wilkie",El País,,,Fiction,"La piedra lunar es un fabuloso diamante ambarino incrustado en la frente de un dios hindú de cuatro manos. Además de una inmensa belleza y de un incalculable valor, posee un maleficio. Pero en esto último no creyó el coronel inglés que lo robó, cargando así con la desgracia para él y para todos sus futuros dueños. Tampoco contó con los tres brahmanes que seguirán su rastro de por vida para recuperarlo",266.0,español,9788496390072.0,Estantería 5.4,8qgwzwEACAAJ
La piedra lunar,II,.,49.0,Wilkie Collins,"Collins, Wilkie",El País,,2004.0,Fiction,"Rachel Verinder no disfruta de la Piedra Lunar -el valiosísimo diamante sagrado de leyenda maléfica- porque desaparece durante una fiesta a poco de llegar a sus manos. Cuff, el primer detective de la literatura británica, se encuentra con tantas versiones sobre el asunto como testigos pretende interrogar. Un mayordomo con Robinson Crusoe de libro de cabecera: Ablewhite, el filántropo; Rosanna, deforme y enamorada, y una especie de bruja metodista son personajes inolvidables en esta historia",638.0,español,9788496390089.0,Estantería 5.4,CIRMzwEACAAJ
La quimera del oro,,.,13.0,Jack London,"London, Jack",El País,,2004.0,,,372.0,español,9788496246218.0,Estantería 5.4,XHPoPAAACAAJ
